pattern,weight_group_key,reference_weight_lb,formula,assumption_note,source_url,confidence,human_confirmed
CONE CAKE,CAKE_CONE_0P15OZ,0.009375,multiply,"Thin wafer ""cake cone"" for ice cream service (not a dessert cake) -- ~0.15 oz each, very light. Verified: ""CONE CAKE #10 36/20CT"" (a self-contained 36x20=720 chain, Purchase Unit redundant with it) implies ~$0.073/cone and $7.78/lb, both plausible for bulk foodservice wafer cones.",,Low-Medium,0
^PIZZA CRUST PAR BAKED 23X11,PIZZA_CRUST_23X11_CASE,55.0,case,"23""x11"" par-baked sheet pizza crust, sold ""20PC"" per case (Purchase Unit ""20/CS"") -- no per-piece weight stated anywhere, so this is a full-case estimate (~2.75 lb/piece x 20 = 55 lb/case) rather than a per-piece figure. Verified: implies $2.27/lb, plausible for wholesale par-baked crust. Lowest-confidence entry in this file -- flagged for review since the per-piece weight is a blind estimate with no stated anchor at all.",,Low-Medium,0
DONUT,DONUT_2P5OZ,0.15625,multiply,"Standard cake/yeast donut, assorted -- ~2.5 oz each. Purchase Unit ""DOZ"" is handled via the ""DOZ""->12 mapping folded into the bare-count fallback (pu_bare_ct), same mechanism as bare ""NCT"". Verified: ""ASSORTED DONUT"" (1,890 dozen) implies $6.81/lb, plausible.",,Low-Medium,0
^SW BREAD SUB ROLL/WHITE$,SW_SUB_ROLL_CASE,12.5,case,"Sibling SKU ""SW BREAD SUB ROLL/WHOLE WHEAT 80CT"" (same file) states Purchase Unit ""CS80"" -- 80 rolls/case, a real cross-referenced count, not a guess. At ~2.5 oz/roll that's a 12.5 lb case. Verified: implies $2.12/lb, plausible. Anchored to the exact ""/WHITE"" SKU (bare Purchase Unit ""CASE"", no count of its own) rather than the generic ""SW BREAD SUB ROLL"" pattern below, which the 80CT sibling already matches via its own name-stated count.",,Medium,0
SW BREAD SUB ROLL,SUB_ROLL_2P5OZ,0.15625,multiply,"Standard sub sandwich roll -- ~2.5 oz each, same figure as the case-formula entry above. Verified against the 80CT sibling (which states its own count in the name): implies $2.15/lb, plausible.",,Medium,0
^HOT POCKET PEPPERONI PIZZA,HOT_POCKET_CASE,6.0,case,"Sibling SKUs ""HOT POCKET MEATBALL W/ MOZZ"" and ""HOT POCKET HAM & CHEESE 8OZ"" (same file) both use Purchase Unit ""12/CS"" -- a real cross-referenced case count of 12 for this product line, applied here since this specific SKU's own Purchase Unit is bare ""CASE"" (no count). At the stated 8 oz/box that's a 6 lb case. Verified: implies $3.66/lb, matching the sibling's $3.66/lb exactly.",,Medium,0
^VILLA PRIMA PIZZA 8,PERSONAL_PIZZA_8IN_10OZ,0.625,multiply,"Standard 8-inch personal pizza -- ~10 oz each. Verified: (24/CS) implies $3.40/lb, plausible.",,Low-Medium,0
^PIZZA CRUST 12" PARBAKED WOOD FIRED,PIZZA_CRUST_12IN_7OZ,0.4375,multiply,"12-inch wood-fired-style thin pizza crust -- ~7 oz each. Purchase Unit ""CS24"" (24 per case) picked up via the ""CSN"" case-count fallback. Verified: implies $4.68/lb, plausible.",,Low-Medium,0
^AVB FRENCH BREAD BALLOON PARISIAN$,FRENCH_BREAD_LOAF_18OZ,1.125,multiply,"""Balloon Parisian"" style French bread loaf -- ~18 oz each. Purchase Unit ""LOAF"" (one loaf per unit, same convention as ""EACH"") picked up via the ""LOAF""->1 fallback. Verified: implies $5.78/lb, plausible.",,Low-Medium,0
^AVB PULLMAN TEXAS TOAST,TEXAS_TOAST_LOAF_20OZ,1.25,multiply,"Standard sliced sandwich-style Texas toast loaf -- ~20 oz each. Purchase Unit ""LOAF"" picked up via the ""LOAF""->1 fallback. Verified: implies $3.27/lb, plausible.",,Low-Medium,0
"^DANISH, MINI CLASSIC ASST/48$",MINI_DANISH_TRAY_48CT,4.5,case,"""ASST/48"" (48 assorted mini danishes per tray) isn't parsed as a count by the shape extractor (""ASST"" before the slash isn't numeric) -- treated as a full-tray weight instead: 48 x ~1.5 oz/danish = 4.5 lb/tray. Verified: implies $8.75/lb, plausible.",,Low-Medium,0
CROISSANT,CROISSANT_3OZ,0.1875,multiply,"Generic bakery croissant (no explicit oz stated) -- ~3 oz each, verified across 4 Starbucks croissant SKUs (Ham & Cheese, Chocolate, Butter, Baked Apple) all sold bare ""EACH"": implies $5.06-9.76/lb, all plausible and internally consistent.",,Medium,0
DANISH,DANISH_2OZ,0.125,multiply,"Generic bakery danish (no explicit oz stated) -- ~2 oz each, verified across 4 SKUs (Cheese 'N Berry, Apple, Starbucks Cheese Danish, LE CHEF via the tray=6 fallback) all sold bare ""EACH""/""TRAY"": implies $7.60-13.12/lb, all plausible and internally consistent. Deliberately does not affect ""DOUGH DANISH...OZ""/""...IW 12/3OZ"" sibling SKUs -- those already resolve earlier via their own explicit weight chains before reaching this dictionary.",,Medium,0
^PIE SHELL DEEP DISH 5",PIE_SHELL_5IN_2P5OZ,0.15625,multiply,"Small (5-inch) individual deep-dish pie shell -- ~2.5 oz each (mostly hollow pastry). Verified: (84/CS) implies $4.52/lb, plausible.",,Low-Medium,0
^BREAD FLAT LIVING GRAIN,FLATBREAD_LIVING_GRAIN_10OZ,0.625,multiply,"Specialty multigrain flatbread, ~8.5x9.5in -- ~10 oz each, scaled against the existing Sysco lavash flatbread proxy (11x17in, 8oz) but denser/thicker. Lower confidence than most entries here -- no stated anchor at all, verified only that it lands under the $20/lb ceiling ($14.31/lb).",,Low,0
^BIG BOPPER COOKIE,ICE_CREAM_SANDWICH_4P5OZ,0.28125,multiply,"""Big Bopper""-style novelty ice cream cookie sandwich -- ~4.5 oz each. Verified: (12/CS) implies $5.69/lb, plausible.",,Low-Medium,0
^RICE CAKE TOPOKKI$,TOPOKKI_1LB_BAG,1.0,multiply,"Korean tteokbokki (topokki) rice cake, frozen bag -- ~1 lb each. Verified: (16/CS) implies $2.94/lb, plausible.",,Low-Medium,0
^BUN BRIOCHE,BRIOCHE_BUN_2OZ,0.125,multiply,"Standard (non-mini) brioche bun -- ~2 oz each. Checked after UCB's ""BUN BRIOCHE.*MINI"" entry (sysco_ct_food_dictionary), which takes priority for mini SKUs. Verified across 2 TURANO SKUs: ""BUN BRIOCHE 4.5"" TURANO 10CT"" (bare count 10 x Purchase Unit ""8/CS"" multiplier) implies $4.80/lb; ""BUN BRIOCHE 4"" TURANO 4/24CT"" (self-contained name chain 4x24=96) implies $4.08/lb -- both plausible and consistent.",,Medium,0
^CORNBREAD BKD CUT 12X16,CORNBREAD_PAN_64OZ,4.0,case,"""64oz"" read as the stated total case weight (4 lb) for this cut 12x16 cornbread pan, rather than guessed. Verified: implies $12.62/lb -- higher than typical bulk cornbread, so this is a lower-confidence entry (the ""12x16"" pan size may suggest a heavier true weight than 64oz alone implies), but no better anchor exists in this file.",,Low,0
^BREAD TEXAS TOAST GARLIC MAGARINE LOAF$,TEXAS_TOAST_GARLIC_CASE_10P5LB,10.5,case,"No sibling within UCR itself, but UCLA_H's own export (a different distributor, US Foods, not Sysco) has an almost identically-described product -- ""BREAD, WHEAT GARLIC SLICED 1 LOAF PARBAKED FROZEN BULK TEXAS TOAST"" (Hilltop Hearth brand) -- with a DIRECTLY reported weight: 21.0 lb / 2 units = 10.5 lb/case. Cross-distributor, not same-SKU, so lower confidence than the Sysco cross-campus lookup elsewhere in this project, but real stated data rather than a blind guess. Verified: implies $3.63/lb, plausible for garlic bread.",,Low-Medium,0
